4,6,4,4,4
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
1,A,1,A,1
4,4,4,4,4
1,1,1,1,1
6,A,A,6,6
4,4,4,4,4
1,4,4,4,1
4,4,4,4,4
4,4,4,4,4
2,2,2,2,2
6,6,6,6,6
A,6,A,A,A
6,6,6,6,6
A,6,6,A,A
4,6,1,6,6
6,6,6,6,6
A,A,A,A,A
1,1,6,6,6
6,6,6,6,6
6,6,6,6,6
A,6,A,A,A
6,6,6,6,6
1,1,6,6,6
1,6,1,1,1
4,4,4,4,4
6,6,6,6,6
6,6,A,6,6
A,A,A,A,6
A,6,A,A,A
A,A,A,A,A
