4,4,4,4,4,4
4,4,4,4,4,4
6,1,1,1,6,1
4,4,4,4,4,4
4,6,4,6,4,4
1,1,1,1,1,1
A,A,A,A,A,A
4,1,4,1,4,4
A,A,A,A,A,A
A,6,6,6,6,6
A,A,A,A,A,A
A,A,A,A,6,A
A,A,6,A,A,A
6,6,6,6,6,6
A,A,A,A,A,A
1,4,4,4,4,4
A,A,A,A,A,A
A,A,6,A,6,6
4,4,4,4,4,4
A,A,A,A,6,A
4,4,4,4,4,4
A,A,A,A,A,A
4,4,4,4,4,4
6,6,6,6,6,6
A,A,A,A,A,A
6,6,6,6,6,6
4,4,4,1,4,4
4,4,4,4,4,4
4,4,4,1,4,4
A,A,A,A,A,A
A,A,A,A,A,6
4,4,4,4,4,4
A,A,6,A,A,A
1,1,4,1,1,1
A,A,A,A,A,A
